state,district,win_name,win_party,dem_votes,rep_votes,other_votes
AL,01,Bradley Byrne,R,"88,365","152,308",157
AL,02,Martha Roby,R,"86,580","138,581",419
AL,03,Mike Rogers,R,"83,145","147,480",149
AL,04,Robert Aderholt,R,"46,370","183,958",222
AL,05,Mo Brooks,R,"100,778","158,373",221
AL,06,Gary Palmer,R,"85,337","192,227",137
AL,07,Terri Sewell,D,"184,694",0,"4,147"
AK,AL,Don Young,R,"109,615","128,516",994
AZ,01,Tom O'Halleran,D,"128,337","112,009",0
AZ,02,Ann Kirkpatrick,D,"145,810","123,247",0
AZ,03,Raul Grijalva,D,"96,674","56,840",0
AZ,04,Paul Gosar,R,"78,041","177,002","2,729"
AZ,05,Andy Biggs,R,"103,943","150,732",0
AZ,06,David Schweikert,R,"116,452","145,981",0
AZ,07,Ruben Gallego,D,"90,468",0,"15,539"
AZ,08,Debbie Lesko,R,"112,037","141,492",0
AZ,09,Greg Stanton,D,"127,566","82,499",0
AK,01,Rick Crawford,R,"57,459","138,436","4,571"
AK,02,French Hill,R,"115,564","131,712","5,176"
AK,03,Steve Womack,R,"74,278","148,088","5,842"
AK,04,Bruce Westerman,R,"63,271","135,300","3,904"
CA,01,Doug La Malfa,R,"92,648","122,012",0
CA,02,Jared Huffman,D,"139,455","48,171",0
CA,03,John Garamendi,D,"98,935","73,320",0
CA,04,Tom McClintock,R,"116,026","142,566",0
CA,05,Mike Thompson,D,"135,266",,"37,676"
CA,06,Doris Matsui,D,"99,646",0,0
CA,07,Ami Bera,D,"77,165","65,691",0
CA,08,Paul Cook,R,0,"122,021",0
CA,09,Jerry McNerney,D,"62,228","51,235",0
CA,10,UNDECIDED,UNDECIDED,"89,763","86,401",0
CA,11,Mark DeSaulnier,D,"141,772","52,007",0
CA,12,Nancy Pelosi,D,"185,173","30,507",0
CA,13,Barbara Lee,D,"145,441",0,"19,689"
CA,14,Jackie Speier,D,"89,836","27,342",0
CA,15,Eric Swalwell,D,"102,391","41,501",0
CA,16,Jim Costa,D,"49,634","40,640",0
CA,17,Ro Khanna,D,"85,026","31,414",0
CA,18,Anna Eshoo,D,"106,891","42,496",0
CA,19,Zoe Lofgren,D,"88,685","36,120",0
CA,20,Jimmy Panetta,D,"96,393",0,"25,628"
CA,21,David Valadao,R,"33,844","39,475",0
CA,22,Devin Nunes,R,"66,277","81,543",0
CA,23,Kevin McCarthy,R,"45,640","90,105",0
CA,24,Salud Carbajal,D,"111,237","85,237",0
CA,25,Katie Hill,D,"90,298","84,272",0
CA,26,Julia Brownley,D,"106,146","70,958",0
CA,27,Judy Chu,D,"143,687",0,0
CA,28,Adam Schiff,D,"136,546","41,563",0
CA,29,Tony Cardenas,D,"83,447","21,929",0
CA,30,Brad Sherman,D,"134,501","53,053",0
CA,31,Pete Aguilar,D,"71,549","54,219",0
CA,32,Grace Napolitano,D,"83,882","41,781",0
CA,33,Ted Lieu,D,"155,546","71,823",0
CA,34,Jimmy Gomez,D,"74,537",0,"26,160"
CA,35,Norma Torres,D,"65,688","31,753",0
CA,36,Raul Ruiz,D,"59,343","45,931",0
CA,37,Karen Bass,D,"143,287","19,081",0
CA,38,Linda Sanchez,D,"95,627","47,351",0
CA,39,UNDECIDED,UNDECIDED,"80,539","83,211",0
CA,40,Lucille Roybal-Allard,D,"63,540",0,"18,131"
CA,41,Mark Takano,D,"45,606","29,919",0
CA,42,Ken Calvert,R,"44,671","65,166",0
CA,43,Maxine Waters,D,"102,863","32,782",0
CA,44,Nanette Barragan,D,"98,366",0,0
CA,45,UNDECIDED,UNDECIDED,"101,955","103,975",0
CA,46,Lou Correa,D,"53,883","30,196",0
CA,47,Alan Lowenthal,D,"92,712","55,296",0
CA,48,Harley Rouda,D,"105,047","97,719",0
CA,49,Mike Levin,D,"106,052","89,548",0
CA,50,Duncan Hunter,R,"76,662","89,002",0
CA,51,Juan Vargas,D,"59,658","27,815",0
CA,52,Scott Peters,D,"115,630","71,891",0
CA,53,Susan Davis,D,"108,006","54,741",0
CO,01,Diana DeGette,D,"200,277","69,560","7,630"
CO,02,Joe Neguse,D,"254,356","143,105","25,584"
CO,03,Scott Tipton,R,"144,325","171,096","16,271"
CO,04,Ken Buck,R,"142,322","220,288",0
CO,05,Doug Lamborn,R,"123,132","180,299","11,361"
CO,06,Jason Crow,D,"185,465","147,417","10,344"
CO,07,Ed Perlmutter,D,"202,726","119,173","13,868"
CT,01,John Larson,D,"172,571","94,744","3,004"
CT,02,Joe Courtney,D,"178,881","102,326","6,821"
CT,03,Rosa DeLauro,D,"151,956","92,942",0
CT,04,Jim Himes,D,"165,278","106,156",0
CT,05,Jahana Hayes,D,"142,508","112,501",0
DE,AL,Lisa Blunt Rochester,D,"227,353","125,384",0
FL,01,Matt Gaetz,R,"105,998","215,980",0
FL,02,Neal Dunn,R,"96,069","199,112",0
FL,03,Ted Yoho,R,"129,153","176,286",0
FL,04,John Rutherford,R,"123,033","248,062","9,434"
FL,05,Al Lawson,D,"180,105","89,664",0
FL,06,Michael Waltz,R,"145,547","187,705",0
FL,07,Stephanie Murphy,D,"182,949","134,253",0
FL,08,Bill Posey,R,"142,209","217,931",0
FL,09,Darren Soto,D,"171,941","124,460",0
FL,10,Val Demings,D,0,0,0
FL,11,Dan Webster,R,"127,933","239,242",0
